Timestamp,City,Temperature,Humidity,Wind_Speed,PM25,AOD
2023-01-01 00:00:00,Delhi,8.0,95,6.9,91.0,0.42
2023-01-01 00:00:00,Hyderabad,20.6,73,3.3,50.3,0.72
2023-01-01 00:00:00,Lucknow,8.7,98,7.8,86.1,0.57
2023-01-01 00:00:00,Kolkata,16.8,97,7.4,123.4,1.29
2023-01-01 00:00:00,Chennai,21.3,95,4.0,44.6,0.4
2023-01-01 00:00:00,Patna,10.2,98,7.0,181.1,1.43
2023-01-01 00:00:00,Bengaluru,15.0,94,8.7,42.0,0.29
2023-01-01 00:00:00,Kanpur,9.4,97,6.6,85.0,0.53
2023-01-01 00:00:00,Mumbai,17.5,84,7.0,51.5,0.19
2023-01-01 00:00:00,Ahmedabad,14.6,57,8.7,45.3,0.3
2023-01-01 01:00:00,Chennai,21.6,94,5.1,43.3,0.42
2023-01-01 01:00:00,Mumbai,16.6,85,7.7,55.5,0.19
2023-01-01 01:00:00,Delhi,8.0,95,7.2,90.8,0.39
2023-01-01 01:00:00,Kanpur,9.6,97,6.0,89.6,0.5
2023-01-01 01:00:00,Bengaluru,15.0,95,8.0,46.0,0.31
2023-01-01 01:00:00,Lucknow,9.1,97,6.0,89.6,0.56
2023-01-01 01:00:00,Patna,10.0,99,5.5,190.5,1.44
2023-01-01 01:00:00,Ahmedabad,14.5,58,9.2,47.0,0.31
2023-01-01 01:00:00,Hyderabad,20.0,78,4.2,49.4,0.69
2023-01-01 01:00:00,Kolkata,16.8,98,6.3,130.9,1.4
2023-01-01 02:00:00,Delhi,8.1,95,7.6,99.2,0.39
2023-01-01 02:00:00,Lucknow,9.8,97,5.6,95.2,0.57
2023-01-01 02:00:00,Patna,11.2,98,6.7,211.4,1.51
2023-01-01 02:00:00,Chennai,22.0,96,7.7,41.7,0.43
2023-01-01 02:00:00,Bengaluru,16.4,91,10.5,51.6,0.32
2023-01-01 02:00:00,Kanpur,10.0,97,4.7,97.6,0.49
2023-01-01 02:00:00,Mumbai,16.4,87,7.6,61.9,0.2
2023-01-01 02:00:00,Kolkata,17.6,94,6.0,133.6,1.52
2023-01-01 02:00:00,Hyderabad,20.1,81,6.4,50.2,0.67
2023-01-01 02:00:00,Ahmedabad,14.5,60,10.6,49.5,0.32
2023-01-01 03:00:00,Hyderabad,22.9,66,5.2,47.4,0.66
2023-01-01 03:00:00,Kanpur,12.1,91,5.4,101.7,0.49
2023-01-01 03:00:00,Bengaluru,19.8,77,7.2,45.9,0.31
2023-01-01 03:00:00,Chennai,23.0,94,6.6,39.9,0.44
2023-01-01 03:00:00,Ahmedabad,16.4,54,12.9,52.2,0.32
2023-01-01 03:00:00,Patna,12.9,97,3.1,214.7,1.54
2023-01-01 03:00:00,Lucknow,11.9,91,6.1,96.6,0.55
2023-01-01 03:00:00,Mumbai,19.5,74,5.5,70.1,0.22
2023-01-01 03:00:00,Delhi,9.5,90,8.7,105.7,0.39
2023-01-01 03:00:00,Kolkata,19.2,89,5.7,130.4,1.59
2023-01-01 04:00:00,Kanpur,14.4,82,3.9,94.5,0.49
2023-01-01 04:00:00,Bengaluru,22.9,57,7.9,30.3,0.3
2023-01-01 04:00:00,Lucknow,14.4,82,4.1,93.8,0.54
2023-01-01 04:00:00,Mumbai,22.0,57,6.2,71.5,0.23
2023-01-01 04:00:00,Hyderabad,25.4,58,7.0,41.9,0.65
2023-01-01 04:00:00,Chennai,25.0,84,3.6,34.9,0.44
2023-01-01 04:00:00,Kolkata,20.8,82,7.2,126.7,1.6
2023-01-01 04:00:00,Ahmedabad,19.2,46,13.0,53.8,0.33
